Name,Xcoo,Ycoo,Facc
Aabach-Talsperre,8.720201165,51.49691644,30.09289684
Altenberg,13.73298056,50.76457222,3.81944339
Amselbach,12.57361098,50.63730837,1.914817943
Breitenbach-Talsperre,8.080336111,50.98234167,34.19871158
Calbitz,13.02987778,51.32370556,56.59257794
Carlsfeld-Talsperre,12.59661111,50.42408056,7.694223197
Cranzahl-Talsperre,13.00326389,50.50428333,5.760985733
Doktorteich,12.89279167,51.32300833,15.09983725
Dörnthaler Teich-Talsperre,13.34043889,50.72542778,11.4640675
Drei Teiche,12.89561667,51.31857222,15.09983725
Dreilägerbach-Talsperre,6.209013889,50.65986944,22.9095153
Dröda-Talsperre,12.05743611,50.39780556,55.84162643
Ecker-Talsperre,10.57957778,51.84072222,24.26497761
Eibenstock-Talsperre,12.59870686,50.5298865,207.5580002
Einsiedel-Talsperre,12.98482266,50.77580659,1.909084024
Ennepe-Talsperre,7.409247222,51.24082778,56.73899744
Erletor-Talsperre,10.74689444,50.58513889,9.581088874
Eschbach-Talsperre,7.231847222,51.15938333,13.25295594
Frauenau-Talsperre,13.33455278,49.01325556,27.72261207
Fuelbecke-Talsperre,7.663072222,51.24821389,3.779776197
Fürwigge-Talsperre,7.687880556,51.14958611,11.3637068
Genkel-Talsperre,7.628361111,51.06336944,9.482785298
Gottleuba-Talsperre,13.93111389,50.83706389,34.35139045
Grane-Talsperre,10.37734722,51.91107778,26.08569903
Große Dhünn-Talsperre,7.190590344,51.06621115,58.77379127
Haltern-Talsperre,7.207069444,51.74274722,942.4195181
Hasper-Talsperre,7.41405,51.29911111,11.32712655
Häuschenteich,12.92888611,51.30046944,7.550561168
Hegeteich Ossa,12.67728056,51.01848056,7.596088005
Heilenbecke-Talsperre,7.372688889,51.25605,11.33932831
Henne-Talsperre,8.272466667,51.33493333,62.33290549
Herbringhauser-Talsperre,7.273252778,51.22898056,5.672873561
Hopfgarten-Talsperre,11.20416111,50.99768611,20.90475694
Hullern-Talsperre,7.263358333,51.74640833,640.1957152
Innerste-Talsperre,10.294925,51.91436111,95.13495917
Jubach-Talsperre,7.608183333,51.16188333,43.57198447
Kalltalsperre,6.310405556,50.64533333,24.62782021
Kerspe-Talsperre,7.494438889,51.1234,70.1137905
Kettwiger See,6.935980556,51.36124167,4419.524836
Kirchenteich,12.89903056,51.31135,13.21316081
Kleine Kinzig,8.365888889,48.39856389,22.03987896
Klingenberg-Talsperre,13.53751944,50.90665,103.04583
Klingerbach,12.60111698,50.63678775,3.829635886
Königshütte-Talsperre,10.80434167,51.73626111,164.5283278
Langer Rodaer See,12.88922778,51.28195,1.887961528
LehnmühleTalsperre,13.59279722,50.83368333,66.84215856
Leibis-LichteTalsperre,11.17371111,50.60051944,69.06319412
Lichtenberg-Talsperre,13.45421174,50.81085925,40.08438468
Lister-Talsperre,7.837258333,51.09444167,28.42464974
Lössau-Talsperre,11.89399444,50.58034722,86.38681387
Mauthaus-Talsperre,11.48968349,50.32879858,40.42020023
Muldenberg -Talsperre,12.40346667,50.41110278,23.08964819
Neumühlenteich Schildau,12.94649722,51.46973611,20.69425937
Neunzehnhain II-Talsperre,13.15256944,50.71301944,11.47553634
Neunzehnhain I-Talsperre,13.16289167,50.73379167,24.85506144
Neustadt-Talsperre,10.86458889,51.57883333,7.501632219
Neye-Talsperre,7.393197222,51.137275,3.788115954
Obere Großhartmannsdorfer Teich,13.32640193,50.78367782,1.908446212
Obermaubach Staustufe,6.446597222,50.71521111,668.8586815
Obersaidaer Teich,13.33629167,50.77095833,3.818805719
Ohra-Talsperre,10.7176498,50.76407894,17.1925952
Oker-Talsperre,10.45831944,51.85068056,85.84167245
Olef-Talsperre,6.421080556,50.49530556,17.13226423
Perlenbach-Talsperre,6.239147222,50.53884722,23.00378596
Primstalsperre,6.979952778,49.61527222,48.85383582
Radeburg I,13.74036389,51.21429444,284.0284832
Rappbode-Talsperre,10.87999596,51.73186515,112.3011176
Rauschenbach-Talsperre,13.5001,50.69453056,72.68030749
Riveris-Talsperre,6.763786111,49.70688056,31.24082232
Rurtalsperre Schwammenauel,6.440038889,50.63682222,535.1543686
Saidenbach-Talsperre,13.22590172,50.73514073,1.910359224
Schadebach I (Krippehna),12.50261667,51.53534444,45.10778172
Scheibe-Alsbach-Talsperre,11.07728611,50.48968611,5.761620983
Schevelinger-Talsperre,7.431294444,51.13586111,15.15182261
Schmalwasser-Talsperre,10.64418333,50.776475,13.3693265
Schönbach,12.76246667,51.15601944,3.787474889
Schönbrunn-Talsperre,10.88105278,50.54346389,24.92380501
Sengbachtalsperre,7.147379017,51.12391302,9.47381532
Sorpesee-Talsperre,7.967472222,51.3509,52.86355752
Sosa-Talsperre,12.64384444,50.49,11.52705232
Söse-Talsperre,10.31155278,51.73869167,52.32929928
Steinbach-Talsperre (RP),7.216577879,49.77789755,44.84723531
