Dam,date,Xcoo,Ycoo,Facc,
Aabach-Talsperre,1985-01-01,8.7202,51.4969,4.66015306926672,
Aabach-Talsperre,2035-01-01,8.7202,51.4969,4.48273957405007,
Aabach-Talsperre,2050-01-01,8.7202,51.4969,3.70727207394812,
Aabach-Talsperre,2083-01-01,8.7202,51.4969,5.1307402674053,
Altenberg,1985-01-01,13.733,50.7646,0.702050690431971,
Altenberg,2035-01-01,13.733,50.7646,3.66712923833969,
Altenberg,2050-01-01,13.733,50.7646,4.76836546023823,
Altenberg,2083-01-01,13.733,50.7646,7.2084566044263,
Amselbach,1985-01-01,12.5736,50.6373,0.221451672212491,
Amselbach,2035-01-01,12.5736,50.6373,6.83065383749225,
Amselbach,2050-01-01,12.5736,50.6373,4.822776200182,
Amselbach,2083-01-01,12.5736,50.6373,5.5153437953696,
Breitenbach-Talsperre,1985-01-01,8.08034,50.9823,9.04758262745408,
Breitenbach-Talsperre,2035-01-01,8.08034,50.9823,2.82438407948219,
Breitenbach-Talsperre,2050-01-01,8.08034,50.9823,0.485854770048982,
Breitenbach-Talsperre,2083-01-01,8.08034,50.9823,2.43413946550671,
Calbitz,1985-01-01,13.0299,51.3237,2.51633129195557,
Calbitz,2035-01-01,13.0299,51.3237,17.6889856898585,
Calbitz,2050-01-01,13.0299,51.3237,14.2240923158232,
Calbitz,2083-01-01,13.0299,51.3237,23.8270708776442,
Carlsfeld-Talsperre,1985-01-01,12.5966,50.4241,1.86885948416264,
Carlsfeld-Talsperre,2035-01-01,12.5966,50.4241,1.68138891019469,
Carlsfeld-Talsperre,2050-01-01,12.5966,50.4241,1.56187697863314,
Carlsfeld-Talsperre,2083-01-01,12.5966,50.4241,3.22503220216991,
Cranzahl-Talsperre,1985-01-01,13.0033,50.5043,0.997720611333489,
Cranzahl-Talsperre,2035-01-01,13.0033,50.5043,5.76770316276517,
Cranzahl-Talsperre,2050-01-01,13.0033,50.5043,6.78491980933988,
Cranzahl-Talsperre,2083-01-01,13.0033,50.5043,7.82746137173843,
Doktorteich,1985-01-01,12.8928,51.323,0.682109638315777,
Doktorteich,2035-01-01,12.8928,51.323,16.3915455712518,
Doktorteich,2050-01-01,12.8928,51.323,11.5789243847492,
Doktorteich,2083-01-01,12.8928,51.323,22.5483919403459,
Dröda-Talsperre,1985-01-01,12.0574,50.3978,4.49376182845519,
Dröda-Talsperre,2035-01-01,12.0574,50.3978,7.49734130246277,
Dröda-Talsperre,2050-01-01,12.0574,50.3978,4.36322118637233,
Dröda-Talsperre,2083-01-01,12.0574,50.3978,9.39931984419776,
Dreilägerbach-Talsperre,1985-01-01,6.20901,50.6599,5.56488879646765,
Dreilägerbach-Talsperre,2035-01-01,6.20901,50.6599,1.7891849972108,
Dreilägerbach-Talsperre,2050-01-01,6.20901,50.6599,4.02254082815641,
Dreilägerbach-Talsperre,2083-01-01,6.20901,50.6599,2.60294344653963,
Drei_Teiche,1985-01-01,12.8956,51.3186,0.682109638315777,
Drei_Teiche,2035-01-01,12.8956,51.3186,16.3915455712518,
Drei_Teiche,2050-01-01,12.8956,51.3186,11.5789243847492,
Drei_Teiche,2083-01-01,12.8956,51.3186,22.5483919403459,
Dörnthaler_Teich-Talsperre,1985-01-01,13.3404,50.7254,1.874761701675,
Dörnthaler_Teich-Talsperre,2035-01-01,13.3404,50.7254,8.29544613079014,
Dörnthaler_Teich-Talsperre,2050-01-01,13.3404,50.7254,4.85774791958057,
Dörnthaler_Teich-Talsperre,2083-01-01,13.3404,50.7254,8.20105686107852,
Ecker-Talsperre,1985-01-01,10.5796,51.8407,9.31997589965034,
Ecker-Talsperre,2035-01-01,10.5796,51.8407,1.57378919768998,
Ecker-Talsperre,2050-01-01,10.5796,51.8407,1.56582401686845,
Ecker-Talsperre,2083-01-01,10.5796,51.8407,1.15683282508558,
Eibenstock-Talsperre,1985-01-01,12.5864,50.5324,2.56168100691694,
Eibenstock-Talsperre,2035-01-01,12.5864,50.5324,4.81625940429024,
Eibenstock-Talsperre,2050-01-01,12.5864,50.5324,5.57624125873516,
Eibenstock-Talsperre,2083-01-01,12.5864,50.5324,4.43239898859508,
Einsiedel-Talsperre,1985-01-01,12.9848,50.7758,0.247458027975478,
Einsiedel-Talsperre,2035-01-01,12.9848,50.7758,6.23350757764736,
Einsiedel-Talsperre,2050-01-01,12.9848,50.7758,5.85649177992362,
Einsiedel-Talsperre,2083-01-01,12.9848,50.7758,8.19884484242856,
Ennepe-Talsperre,1985-01-01,7.40925,51.2408,17.4807499071881,
Ennepe-Talsperre,2035-01-01,7.40925,51.2408,2.04821458760415,
Ennepe-Talsperre,2050-01-01,7.40925,51.2408,0.982058733800878,
Ennepe-Talsperre,2083-01-01,7.40925,51.2408,1.99732347029274,
Erletor-Talsperre,1985-01-01,10.7469,50.5851,2.33270052549727,
Erletor-Talsperre,2035-01-01,10.7469,50.5851,-0.418458171937333,
Erletor-Talsperre,2050-01-01,10.7469,50.5851,-0.901508572361409,
Erletor-Talsperre,2083-01-01,10.7469,50.5851,2.71305393553846,
Eschbach-Talsperre,1985-01-01,7.23185,51.1594,4.16541944081368,
Eschbach-Talsperre,2035-01-01,7.23185,51.1594,0.802764737305753,
Eschbach-Talsperre,2050-01-01,7.23185,51.1594,1.59102695980232,
Eschbach-Talsperre,2083-01-01,7.23185,51.1594,0.887598062187129,
Frauenau-Talsperre,1985-01-01,13.3346,49.0133,8.70766422258924,
