Dam,date,Xcoo,Ycoo,Facc,
Aabach-Talsperre,1985-01-01,8.7202,51.4969,5.14258234897605,
Aabach-Talsperre,2035-01-01,8.7202,51.4969,17.9132053338694,
Aabach-Talsperre,2050-01-01,8.7202,51.4969,17.5598351632528,
Aabach-Talsperre,2083-01-01,8.7202,51.4969,36.0804737351295,
Altenberg,1985-01-01,13.733,50.7646,0.785616258711858,
Altenberg,2035-01-01,13.733,50.7646,11.5927831836888,
Altenberg,2050-01-01,13.733,50.7646,14.0001189805865,
Altenberg,2083-01-01,13.733,50.7646,19.1902692741231,
Amselbach,1985-01-01,12.5736,50.6373,0.237410377387421,
Amselbach,2035-01-01,12.5736,50.6373,54.8076922085523,
Amselbach,2050-01-01,12.5736,50.6373,67.2185943405559,
Amselbach,2083-01-01,12.5736,50.6373,103.383845330364,
Breitenbach-Talsperre,1985-01-01,8.08034,50.9823,9.4835934478125,
Breitenbach-Talsperre,2035-01-01,8.08034,50.9823,22.344084075382,
Breitenbach-Talsperre,2050-01-01,8.08034,50.9823,34.9243336342238,
Breitenbach-Talsperre,2083-01-01,8.08034,50.9823,59.0088395309662,
Calbitz,1985-01-01,13.0299,51.3237,3.20600177136668,
Calbitz,2035-01-01,13.0299,51.3237,55.2602956817641,
Calbitz,2050-01-01,13.0299,51.3237,78.2423231177792,
Calbitz,2083-01-01,13.0299,51.3237,138.277430812992,
Carlsfeld-Talsperre,1985-01-01,12.5966,50.4241,2.03211668345613,
Carlsfeld-Talsperre,2035-01-01,12.5966,50.4241,20.9708503821015,
Carlsfeld-Talsperre,2050-01-01,12.5966,50.4241,27.2479780120613,
Carlsfeld-Talsperre,2083-01-01,12.5966,50.4241,33.833728541482,
Cranzahl-Talsperre,1985-01-01,13.0033,50.5043,1.07213365060128,
Cranzahl-Talsperre,2035-01-01,13.0033,50.5043,21.1373549107756,
Cranzahl-Talsperre,2050-01-01,13.0033,50.5043,28.1867482971367,
Cranzahl-Talsperre,2083-01-01,13.0033,50.5043,32.615067838038,
Doktorteich,1985-01-01,12.8928,51.323,0.865373748696377,
Doktorteich,2035-01-01,12.8928,51.323,59.1088527807536,
