Dam,date,Xcoo,Ycoo,Facc,
Aabach-Talsperre,1985-01-01,8.7202,51.4969,4.63133815137141,
Aabach-Talsperre,2035-01-01,8.7202,51.4969,-0.119045853438748,
Aabach-Talsperre,2050-01-01,8.7202,51.4969,-0.45524782887215,
Aabach-Talsperre,2083-01-01,8.7202,51.4969,-0.468512674716286,
Altenberg,1985-01-01,13.733,50.7646,0.674188453277342,
Altenberg,2035-01-01,13.733,50.7646,4.06169029728267,
Altenberg,2050-01-01,13.733,50.7646,5.95825081302315,
Altenberg,2083-01-01,13.733,50.7646,-0.115264502901795,
Amselbach,1985-01-01,12.5736,50.6373,0.210903973915683,
Amselbach,2035-01-01,12.5736,50.6373,11.6489897037728,
Amselbach,2050-01-01,12.5736,50.6373,12.7037148142113,
Amselbach,2083-01-01,12.5736,50.6373,11.3248830206366,
Breitenbach-Talsperre,1985-01-01,8.08034,50.9823,8.99879447260919,
Breitenbach-Talsperre,2035-01-01,8.08034,50.9823,-0.83314220706633,
Breitenbach-Talsperre,2050-01-01,8.08034,50.9823,0.0667714868681419,
Breitenbach-Talsperre,2083-01-01,8.08034,50.9823,0.222008824615686,
Calbitz,1985-01-01,13.0299,51.3237,2.5234796213776,
Calbitz,2035-01-01,13.0299,51.3237,22.4112688200179,
Calbitz,2050-01-01,13.0299,51.3237,23.4943735994678,
Calbitz,2083-01-01,13.0299,51.3237,33.4222185043652,
Carlsfeld-Talsperre,1985-01-01,12.5966,50.4241,1.85577799524186,
Carlsfeld-Talsperre,2035-01-01,12.5966,50.4241,1.34962882991281,
Carlsfeld-Talsperre,2050-01-01,12.5966,50.4241,-1.37336742553493,
Carlsfeld-Talsperre,2083-01-01,12.5966,50.4241,-4.88299383324929,
Cranzahl-Talsperre,1985-01-01,13.0033,50.5043,0.986369470184202,
Cranzahl-Talsperre,2035-01-01,13.0033,50.5043,5.44102483491928,
Cranzahl-Talsperre,2050-01-01,13.0033,50.5043,8.50853837386811,
Cranzahl-Talsperre,2083-01-01,13.0033,50.5043,1.56546621199705,
Doktorteich,1985-01-01,12.8928,51.323,0.674538068368712,
Doktorteich,2035-01-01,12.8928,51.323,22.9667824128751,
Doktorteich,2050-01-01,12.8928,51.323,24.3421460823787,
Doktorteich,2083-01-01,12.8928,51.323,31.7209071684164,
Dröda-Talsperre,1985-01-01,12.0574,50.3978,4.3960648536829,
Dröda-Talsperre,2035-01-01,12.0574,50.3978,12.1040673212902,
Dröda-Talsperre,2050-01-01,12.0574,50.3978,18.8287575343153,
Dröda-Talsperre,2083-01-01,12.0574,50.3978,13.9122274135157,
Dreilägerbach-Talsperre,1985-01-01,6.20901,50.6599,5.52719305470076,
Dreilägerbach-Talsperre,2035-01-01,6.20901,50.6599,-3.33035115174915,
Dreilägerbach-Talsperre,2050-01-01,6.20901,50.6599,-2.71914012188455,
Dreilägerbach-Talsperre,2083-01-01,6.20901,50.6599,-5.81233858654346,
Drei_Teiche,1985-01-01,12.8956,51.3186,0.674538068368712,
Drei_Teiche,2035-01-01,12.8956,51.3186,22.9667824128751,
Drei_Teiche,2050-01-01,12.8956,51.3186,24.3421460823787,
Drei_Teiche,2083-01-01,12.8956,51.3186,31.7209071684164,
Dörnthaler_Teich-Talsperre,1985-01-01,13.3404,50.7254,1.83396781048778,
Dörnthaler_Teich-Talsperre,2035-01-01,13.3404,50.7254,6.28500690814716,
Dörnthaler_Teich-Talsperre,2050-01-01,13.3404,50.7254,9.85315984266872,
Dörnthaler_Teich-Talsperre,2083-01-01,13.3404,50.7254,1.81922477397315,
Ecker-Talsperre,1985-01-01,10.5796,51.8407,9.29512761253861,
Ecker-Talsperre,2035-01-01,10.5796,51.8407,-0.882038176773763,
Ecker-Talsperre,2050-01-01,10.5796,51.8407,-2.5349129927056,
Ecker-Talsperre,2083-01-01,10.5796,51.8407,-4.26515051148993,
