Dam,date,Xcoo,Ycoo,Facc,
Aabach-Talsperre,1985-01-01,8.7202,51.4969,12400968.564688,
Aabach-Talsperre,2035-01-01,8.7202,51.4969,7.86856699904431,
Aabach-Talsperre,2050-01-01,8.7202,51.4969,7.82310933897275,
Aabach-Talsperre,2083-01-01,8.7202,51.4969,7.42443310339624,
Altenberg,1985-01-01,13.733,50.7646,1860400.52106947,
Altenberg,2035-01-01,13.733,50.7646,8.18875879355567,
Altenberg,2050-01-01,13.733,50.7646,7.40732706296495,
Altenberg,2083-01-01,13.733,50.7646,13.7193029312707,
Amselbach,1985-01-01,12.5736,50.6373,593020.994524956,
Amselbach,2035-01-01,12.5736,50.6373,9.25196748054299,
Amselbach,2050-01-01,12.5736,50.6373,9.18970471214735,
Amselbach,2083-01-01,12.5736,50.6373,12.7834331661665,
Breitenbach-Talsperre,1985-01-01,8.08034,50.9823,24040768.4021831,
Breitenbach-Talsperre,2035-01-01,8.08034,50.9823,6.29422409332568,
Breitenbach-Talsperre,2050-01-01,8.08034,50.9823,7.12171511686182,
Breitenbach-Talsperre,2083-01-01,8.08034,50.9823,6.15956408427918,
Calbitz,1985-01-01,13.0299,51.3237,6880222.39153862,
Calbitz,2035-01-01,13.0299,51.3237,20.7811754358476,
Calbitz,2050-01-01,13.0299,51.3237,23.5753261153195,
Calbitz,2083-01-01,13.0299,51.3237,29.8662928986049,
Carlsfeld-Talsperre,1985-01-01,12.5966,50.4241,5010864.98684764,
Carlsfeld-Talsperre,2035-01-01,12.5966,50.4241,5.10670518805899,
Carlsfeld-Talsperre,2050-01-01,12.5966,50.4241,2.79000815993048,
Carlsfeld-Talsperre,2083-01-01,12.5966,50.4241,6.05559089956917,
Cranzahl-Talsperre,1985-01-01,13.0033,50.5043,2678667.47676283,
Cranzahl-Talsperre,2035-01-01,13.0033,50.5043,11.6599528802849,
Cranzahl-Talsperre,2050-01-01,13.0033,50.5043,7.75374763484753,
Cranzahl-Talsperre,2083-01-01,13.0033,50.5043,10.1928092351229,
Doktorteich,1985-01-01,12.8928,51.323,1858758.81228626,
Doktorteich,2035-01-01,12.8928,51.323,20.9992121004628,
Doktorteich,2050-01-01,12.8928,51.323,20.9358802584439,
Doktorteich,2083-01-01,12.8928,51.323,28.6447499901763,
Drei_Teiche,1985-01-01,12.8956,51.3186,1858758.81228626,
Drei_Teiche,2035-01-01,12.8956,51.3186,20.9992121004628,
Drei_Teiche,2050-01-01,12.8956,51.3186,20.9358802584439,
Drei_Teiche,2083-01-01,12.8956,51.3186,28.6447499901763,
Dreilägerbach-Talsperre,1985-01-01,6.20901,50.6599,14763263.2320929,
Dreilägerbach-Talsperre,2035-01-01,6.20901,50.6599,8.35458510231851,
Dreilägerbach-Talsperre,2050-01-01,6.20901,50.6599,4.87427990571026,
Dreilägerbach-Talsperre,2083-01-01,6.20901,50.6599,4.92174417968249,
Dröda-Talsperre,1985-01-01,12.0574,50.3978,12032210.5605268,
Dröda-Talsperre,2035-01-01,12.0574,50.3978,10.7590339393035,
Dröda-Talsperre,2050-01-01,12.0574,50.3978,14.6676216653497,
Dröda-Talsperre,2083-01-01,12.0574,50.3978,15.3232383316184,
Dörnthaler_Teich-Talsperre,1985-01-01,13.3404,50.7254,5034452.77381003,
Dörnthaler_Teich-Talsperre,2035-01-01,13.3404,50.7254,8.29805819678039,
Dörnthaler_Teich-Talsperre,2050-01-01,13.3404,50.7254,8.21167220264367,
Dörnthaler_Teich-Talsperre,2083-01-01,13.3404,50.7254,10.893211236617,
Ecker-Talsperre,1985-01-01,10.5796,51.8407,25074249.4944263,
Ecker-Talsperre,2035-01-01,10.5796,51.8407,4.17131126635845,
Ecker-Talsperre,2050-01-01,10.5796,51.8407,2.3882546544565,
Ecker-Talsperre,2083-01-01,10.5796,51.8407,6.64951196759408,
Eibenstock-Talsperre,1985-01-01,12.5987,50.5299,111652034.067307,
Eibenstock-Talsperre,2035-01-01,12.5987,50.5299,5.59797971691907,
Eibenstock-Talsperre,2050-01-01,12.5987,50.5299,4.45525644860688,
Eibenstock-Talsperre,2083-01-01,12.5987,50.5299,7.88360001320371,
Einsiedel-Talsperre,1985-01-01,12.9848,50.7758,657928.272578493,
Einsiedel-Talsperre,2035-01-01,12.9848,50.7758,10.0476606531932,
Einsiedel-Talsperre,2050-01-01,12.9848,50.7758,16.4736726708639,
Einsiedel-Talsperre,2083-01-01,12.9848,50.7758,10.8483552923971,
Ennepe-Talsperre,1985-01-01,7.40925,51.2408,46537391.6319466,
Ennepe-Talsperre,2035-01-01,7.40925,51.2408,5.46794469170452,
Ennepe-Talsperre,2050-01-01,7.40925,51.2408,6.40651473368833,
Ennepe-Talsperre,2083-01-01,7.40925,51.2408,3.94769336792852,
Erletor-Talsperre,1985-01-01,10.7469,50.5851,6235008.99906456,
Erletor-Talsperre,2035-01-01,10.7469,50.5851,4.74528010920293,
Erletor-Talsperre,2050-01-01,10.7469,50.5851,3.49396247603905,
Erletor-Talsperre,2083-01-01,10.7469,50.5851,2.3053380766273,
Eschbach-Talsperre,1985-01-01,7.23185,51.1594,11032407.4897134,
Eschbach-Talsperre,2035-01-01,7.23185,51.1594,5.57227848398283,
Eschbach-Talsperre,2050-01-01,7.23185,51.1594,7.15812556090755,
Eschbach-Talsperre,2083-01-01,7.23185,51.1594,5.14027808185291,
Frauenau-Talsperre,1985-01-01,13.3346,49.0133,23145211.4388013,
Frauenau-Talsperre,2035-01-01,13.3346,49.0133,6.33839609023558,
Frauenau-Talsperre,2050-01-01,13.3346,49.0133,6.19690242224333,
Frauenau-Talsperre,2083-01-01,13.3346,49.0133,6.9292901641319,
Fuelbecke-Talsperre,1985-01-01,7.66307,51.2482,3047364.09874231,
Fuelbecke-Talsperre,2035-01-01,7.66307,51.2482,6.19146019487997,
Fuelbecke-Talsperre,2050-01-01,7.66307,51.2482,6.65517337406621,
Fuelbecke-Talsperre,2083-01-01,7.66307,51.2482,4.63679824159047,
Fürwigge-Talsperre,1985-01-01,7.68788,51.1496,10836663.9277661,
Fürwigge-Talsperre,2035-01-01,7.68788,51.1496,4.98306314071062,
Fürwigge-Talsperre,2050-01-01,7.68788,51.1496,4.88569254106104,
Fürwigge-Talsperre,2083-01-01,7.68788,51.1496,3.41713574203575,
Genkel-Talsperre,1985-01-01,7.62836,51.0634,8122741.17738962,
Genkel-Talsperre,2035-01-01,7.62836,51.0634,6.23519959937313,
Genkel-Talsperre,2050-01-01,7.62836,51.0634,6.05900976218833,
Genkel-Talsperre,2083-01-01,7.62836,51.0634,5.28278856750792,
Gottleuba-Talsperre,1985-01-01,13.9311,50.8371,10561416.0810184,
Gottleuba-Talsperre,2035-01-01,13.9311,50.8371,13.6569541815983,
Gottleuba-Talsperre,2050-01-01,13.9311,50.8371,12.5697247762342,
Gottleuba-Talsperre,2083-01-01,13.9311,50.8371,19.951105122342,
Grane-Talsperre,1985-01-01,10.3773,51.9111,16173630.6068659,
Grane-Talsperre,2035-01-01,10.3773,51.9111,8.64398617403506,
Grane-Talsperre,2050-01-01,10.3773,51.9111,5.61072087677237,
Grane-Talsperre,2083-01-01,10.3773,51.9111,5.72734087743171,
Große_Dhünn-Talsperre,1985-01-01,7.19059,51.0662,44391586.5419626,
Große_Dhünn-Talsperre,2035-01-01,7.19059,51.0662,7.09279183359223,
Große_Dhünn-Talsperre,2050-01-01,7.19059,51.0662,7.16694873023666,
Große_Dhünn-Talsperre,2083-01-01,7.19059,51.0662,5.67876299595959,
Haltern-Talsperre,1985-01-01,7.20707,51.7427,288906465.84446,
Haltern-Talsperre,2035-01-01,7.20707,51.7427,10.5443319078875,
Haltern-Talsperre,2050-01-01,7.20707,51.7427,11.9127333395188,
Haltern-Talsperre,2083-01-01,7.20707,51.7427,11.406210509,
Hasper-Talsperre,1985-01-01,7.41405,51.2991,7902171.90789074,
Hasper-Talsperre,2035-01-01,7.41405,51.2991,7.59083704914407,
Hasper-Talsperre,2050-01-01,7.41405,51.2991,6.33556028600073,
Hasper-Talsperre,2083-01-01,7.41405,51.2991,5.11893528176331,
Hegeteich_Ossa,1985-01-01,12.6773,51.0185,1328128.92798677,
Hegeteich_Ossa,2035-01-01,12.6773,51.0185,13.7150682085887,
Hegeteich_Ossa,2050-01-01,12.6773,51.0185,20.5461857685688,
Hegeteich_Ossa,2083-01-01,12.6773,51.0185,18.6732163567621,
Heilenbecke-Talsperre,1985-01-01,7.37269,51.2561,8754597.66684249,
Heilenbecke-Talsperre,2035-01-01,7.37269,51.2561,5.92578227053673,
Heilenbecke-Talsperre,2050-01-01,7.37269,51.2561,5.84353096420968,
Heilenbecke-Talsperre,2083-01-01,7.37269,51.2561,4.35695755241612,
Henne-Talsperre,1985-01-01,8.27247,51.3349,37125538.2245922,
Henne-Talsperre,2035-01-01,8.27247,51.3349,6.99687710729875,
Henne-Talsperre,2050-01-01,8.27247,51.3349,5.90446384270261,
Henne-Talsperre,2083-01-01,8.27247,51.3349,7.42096254832704,
Herbringhauser-Talsperre,1985-01-01,7.27325,51.229,4472804.87947147,
Herbringhauser-Talsperre,2035-01-01,7.27325,51.229,5.45752708317042,
Herbringhauser-Talsperre,2050-01-01,7.27325,51.229,6.84407168885165,
Herbringhauser-Talsperre,2083-01-01,7.27325,51.229,5.56547663224115,
Hopfgarten-Talsperre,1985-01-01,11.2042,50.9977,2477418.32229495,
Hopfgarten-Talsperre,2035-01-01,11.2042,50.9977,20.2286092223798,
Hopfgarten-Talsperre,2050-01-01,11.2042,50.9977,20.5301108839277,
Hopfgarten-Talsperre,2083-01-01,11.2042,50.9977,25.1056815508641,
Hullern-Talsperre,1985-01-01,7.26336,51.7464,191011751.748018,
Hullern-Talsperre,2035-01-01,7.26336,51.7464,10.5506085953623,
Hullern-Talsperre,2050-01-01,7.26336,51.7464,12.3436163224027,
Hullern-Talsperre,2083-01-01,7.26336,51.7464,11.6552933015819,
Häuschenteich,1985-01-01,12.9289,51.3005,941211.970658787,
Häuschenteich,2035-01-01,12.9289,51.3005,20.3919610424359,
Häuschenteich,2050-01-01,12.9289,51.3005,20.604339718438,
Häuschenteich,2083-01-01,12.9289,51.3005,28.6756926120506,
Innerste-Talsperre,1985-01-01,10.2949,51.9144,69882554.4712543,
Innerste-Talsperre,2035-01-01,10.2949,51.9144,7.08580350584685,
Innerste-Talsperre,2050-01-01,10.2949,51.9144,5.08564885701712,
Innerste-Talsperre,2083-01-01,10.2949,51.9144,2.68015998107269,
Jubach-Talsperre,1985-01-01,7.60818,51.1619,38731251.4518571,
Jubach-Talsperre,2035-01-01,7.60818,51.1619,5.28887292633407,
Jubach-Talsperre,2050-01-01,7.60818,51.1619,5.65179175824102,
Jubach-Talsperre,2083-01-01,7.60818,51.1619,4.58775643465941,
Kalltalsperre,1985-01-01,6.31041,50.6453,16117241.6555858,
Kalltalsperre,2035-01-01,6.31041,50.6453,7.93425196339738,
Kalltalsperre,2050-01-01,6.31041,50.6453,6.12449198152972,
Kalltalsperre,2083-01-01,6.31041,50.6453,7.62480392507813,
Kerspe-Talsperre,1985-01-01,7.49444,51.1234,60216557.2180939,
Kerspe-Talsperre,2035-01-01,7.49444,51.1234,5.82695439730568,
Kerspe-Talsperre,2050-01-01,7.49444,51.1234,6.7143046518193,
Kerspe-Talsperre,2083-01-01,7.49444,51.1234,4.7839896703569,
Kettwiger_See,1985-01-01,6.93598,51.3612,2657472870.98694,
Kettwiger_See,2035-01-01,6.93598,51.3612,7.71694869248937,
Kettwiger_See,2050-01-01,6.93598,51.3612,7.35723588015289,
Kettwiger_See,2083-01-01,6.93598,51.3612,6.43870347857189,
Kirchenteich,1985-01-01,12.899,51.3113,1638623.72539781,
Kirchenteich,2035-01-01,12.899,51.3113,20.7890069629844,
Kirchenteich,2050-01-01,12.899,51.3113,20.6510293886155,
Kirchenteich,2083-01-01,12.899,51.3113,28.5679117965063,
Kleine_Kinzig,1985-01-01,8.36589,48.3986,26344312.3529649,
Kleine_Kinzig,2035-01-01,8.36589,48.3986,7.73110517136058,
Kleine_Kinzig,2050-01-01,8.36589,48.3986,6.52132946007399,
Kleine_Kinzig,2083-01-01,8.36589,48.3986,4.49929046535614,
Klingenberg-Talsperre,1985-01-01,13.5375,50.9066,44568183.3849907,
Klingenberg-Talsperre,2035-01-01,13.5375,50.9066,8.29847152970472,
Klingenberg-Talsperre,2050-01-01,13.5375,50.9066,9.02678023318987,
Klingenberg-Talsperre,2083-01-01,13.5375,50.9066,15.4461463998286,
Klingerbach,1985-01-01,12.6011,50.6368,1245940.62688708,
Klingerbach,2035-01-01,12.6011,50.6368,8.96062646742963,
Klingerbach,2050-01-01,12.6011,50.6368,9.47092686454461,
Klingerbach,2083-01-01,12.6011,50.6368,11.2602531431642,
Königshütte-Talsperre,1985-01-01,10.8043,51.7363,117926357.942762,
