Dam,date,Xcoo,Ycoo,Facc,
Aabach-Talsperre,1985-01-01,8.7202,51.4969,13516067.7626753,
Aabach-Talsperre,2035-01-01,8.7202,51.4969,18.0108801291411,
Aabach-Talsperre,2050-01-01,8.7202,51.4969,17.6631910397115,
Aabach-Talsperre,2083-01-01,8.7202,51.4969,36.3963493512314,
Altenberg,1985-01-01,13.733,50.7646,2068548.42288315,
Altenberg,2035-01-01,13.733,50.7646,11.634452234955,
Altenberg,2050-01-01,13.733,50.7646,13.9840407371361,
Altenberg,2083-01-01,13.733,50.7646,19.3342284138264,
Amselbach,1985-01-01,12.5736,50.6373,624181.443007886,
Amselbach,2035-01-01,12.5736,50.6373,55.2123102084382,
Amselbach,2050-01-01,12.5736,50.6373,67.6350886479671,
Amselbach,2083-01-01,12.5736,50.6373,103.9967213094,
Breitenbach-Talsperre,1985-01-01,8.08034,50.9823,24933895.9186363,
Breitenbach-Talsperre,2035-01-01,8.08034,50.9823,22.3507999970296,
Breitenbach-Talsperre,2050-01-01,8.08034,50.9823,34.9426297096915,
Breitenbach-Talsperre,2083-01-01,8.08034,50.9823,59.2971667751133,
Calbitz,1985-01-01,13.0299,51.3237,8433354.64943826,
Calbitz,2035-01-01,13.0299,51.3237,55.3618521017027,
Calbitz,2050-01-01,13.0299,51.3237,78.4453158558995,
Calbitz,2083-01-01,13.0299,51.3237,138.826994051445,
Carlsfeld-Talsperre,1985-01-01,12.5966,50.4241,5341299.54353213,
Carlsfeld-Talsperre,2035-01-01,12.5966,50.4241,21.267610342322,
Carlsfeld-Talsperre,2050-01-01,12.5966,50.4241,27.4945789572188,
Carlsfeld-Talsperre,2083-01-01,12.5966,50.4241,34.1370547565272,
Cranzahl-Talsperre,1985-01-01,13.0033,50.5043,2822705.18497109,
Cranzahl-Talsperre,2035-01-01,13.0033,50.5043,21.0472839727548,
Cranzahl-Talsperre,2050-01-01,13.0033,50.5043,27.9343456420666,
Cranzahl-Talsperre,2083-01-01,13.0033,50.5043,32.6192698304647,
Doktorteich,1985-01-01,12.8928,51.323,2276031.5185596,
Doktorteich,2035-01-01,12.8928,51.323,59.2120758302031,
Doktorteich,2050-01-01,12.8928,51.323,83.8740601313509,
Doktorteich,2083-01-01,12.8928,51.323,142.845000560021,
Drei_Teiche,1985-01-01,12.8956,51.3186,2276031.5185596,
Drei_Teiche,2035-01-01,12.8956,51.3186,59.2120758302031,
Drei_Teiche,2050-01-01,12.8956,51.3186,83.8740601313509,
Drei_Teiche,2083-01-01,12.8956,51.3186,142.845000560021,
Dreilägerbach-Talsperre,1985-01-01,6.20901,50.6599,15605175.9368134,
Dreilägerbach-Talsperre,2035-01-01,6.20901,50.6599,14.6509375618698,
Dreilägerbach-Talsperre,2050-01-01,6.20901,50.6599,16.5399153499678,
Dreilägerbach-Talsperre,2083-01-01,6.20901,50.6599,29.1367072608577,
Dröda-Talsperre,1985-01-01,12.0574,50.3978,13251882.0687711,
Dröda-Talsperre,2035-01-01,12.0574,50.3978,41.146375589274,
Dröda-Talsperre,2050-01-01,12.0574,50.3978,59.130030982253,
Dröda-Talsperre,2083-01-01,12.0574,50.3978,80.9463029903274,
Dörnthaler_Teich-Talsperre,1985-01-01,13.3404,50.7254,5695709.16653752,
Dörnthaler_Teich-Talsperre,2035-01-01,13.3404,50.7254,20.3814189386412,
Dörnthaler_Teich-Talsperre,2050-01-01,13.3404,50.7254,23.8126149306629,
Dörnthaler_Teich-Talsperre,2083-01-01,13.3404,50.7254,39.2252415197515,
Ecker-Talsperre,1985-01-01,10.5796,51.8407,27470073.2356882,
Ecker-Talsperre,2035-01-01,10.5796,51.8407,5.34962170112809,
Ecker-Talsperre,2050-01-01,10.5796,51.8407,6.32529860696053,
Ecker-Talsperre,2083-01-01,10.5796,51.8407,16.11751270995,
Eibenstock-Talsperre,1985-01-01,12.5987,50.5299,119567192.055874,
Eibenstock-Talsperre,2035-01-01,12.5987,50.5299,27.6896690269448,
Eibenstock-Talsperre,2050-01-01,12.5987,50.5299,35.5158562329801,
Eibenstock-Talsperre,2083-01-01,12.5987,50.5299,48.6266082822291,
Einsiedel-Talsperre,1985-01-01,12.9848,50.7758,766374.53104645,
Einsiedel-Talsperre,2035-01-01,12.9848,50.7758,35.8816760440316,
Einsiedel-Talsperre,2050-01-01,12.9848,50.7758,43.81575618129,
Einsiedel-Talsperre,2083-01-01,12.9848,50.7758,69.8587063476704,
Ennepe-Talsperre,1985-01-01,7.40925,51.2408,49974680.0557137,
Ennepe-Talsperre,2035-01-01,7.40925,51.2408,13.6953856823105,
Ennepe-Talsperre,2050-01-01,7.40925,51.2408,25.0914282273961,
Ennepe-Talsperre,2083-01-01,7.40925,51.2408,47.150963765002,
Erletor-Talsperre,1985-01-01,10.7469,50.5851,6614224.83862281,
Erletor-Talsperre,2035-01-01,10.7469,50.5851,19.0980664073011,
Erletor-Talsperre,2050-01-01,10.7469,50.5851,28.4783847941669,
Erletor-Talsperre,2083-01-01,10.7469,50.5851,44.5133276807291,
Eschbach-Talsperre,1985-01-01,7.23185,51.1594,11538203.8917929,
Eschbach-Talsperre,2035-01-01,7.23185,51.1594,19.3061240388738,
Eschbach-Talsperre,2050-01-01,7.23185,51.1594,32.7180296437307,
Eschbach-Talsperre,2083-01-01,7.23185,51.1594,61.4284386580612,
Frauenau-Talsperre,1985-01-01,13.3346,49.0133,24918642.9622865,
Frauenau-Talsperre,2035-01-01,13.3346,49.0133,13.020053334875,
Frauenau-Talsperre,2050-01-01,13.3346,49.0133,24.1926367882324,
Frauenau-Talsperre,2083-01-01,13.3346,49.0133,34.566705399811,
Fuelbecke-Talsperre,1985-01-01,7.66307,51.2482,3286448.89531553,
Fuelbecke-Talsperre,2035-01-01,7.66307,51.2482,13.5185528752501,
Fuelbecke-Talsperre,2050-01-01,7.66307,51.2482,21.0206786727228,
Fuelbecke-Talsperre,2083-01-01,7.66307,51.2482,37.6115344519302,
Fürwigge-Talsperre,1985-01-01,7.68788,51.1496,11513961.9053614,
Fürwigge-Talsperre,2035-01-01,7.68788,51.1496,11.6176927173076,
Fürwigge-Talsperre,2050-01-01,7.68788,51.1496,18.9760129667982,
Fürwigge-Talsperre,2083-01-01,7.68788,51.1496,34.4986891400433,
Genkel-Talsperre,1985-01-01,7.62836,51.0634,8472692.34602094,
Genkel-Talsperre,2035-01-01,7.62836,51.0634,17.7170713711296,
Genkel-Talsperre,2050-01-01,7.62836,51.0634,28.8185523103761,
Genkel-Talsperre,2083-01-01,7.62836,51.0634,52.731462091138,
Gottleuba-Talsperre,1985-01-01,13.9311,50.8371,12066718.8281983,
Gottleuba-Talsperre,2035-01-01,13.9311,50.8371,17.9747108871488,
Gottleuba-Talsperre,2050-01-01,13.9311,50.8371,23.7923683332701,
Gottleuba-Talsperre,2083-01-01,13.9311,50.8371,40.2068650127949,
Grane-Talsperre,1985-01-01,10.3773,51.9111,16955763.756609,
Grane-Talsperre,2035-01-01,10.3773,51.9111,19.519111363297,
Grane-Talsperre,2050-01-01,10.3773,51.9111,22.4758816812114,
Grane-Talsperre,2083-01-01,10.3773,51.9111,42.4300736279736,
Große_Dhünn-Talsperre,1985-01-01,7.19059,51.0662,47200669.8407793,
Große_Dhünn-Talsperre,2035-01-01,7.19059,51.0662,22.2507651681029,
Große_Dhünn-Talsperre,2050-01-01,7.19059,51.0662,37.301694164239,
Große_Dhünn-Talsperre,2083-01-01,7.19059,51.0662,70.3368300809514,
Haltern-Talsperre,1985-01-01,7.20707,51.7427,303848762.909374,
Haltern-Talsperre,2035-01-01,7.20707,51.7427,31.6308380279756,
Haltern-Talsperre,2050-01-01,7.20707,51.7427,47.7529784823544,
Haltern-Talsperre,2083-01-01,7.20707,51.7427,90.6311211708141,
Hasper-Talsperre,1985-01-01,7.41405,51.2991,8519950.08752257,
Hasper-Talsperre,2035-01-01,7.41405,51.2991,15.1836922827478,
Hasper-Talsperre,2050-01-01,7.41405,51.2991,24.5827472028916,
Hasper-Talsperre,2083-01-01,7.41405,51.2991,42.7849808907143,
Hegeteich_Ossa,1985-01-01,12.6773,51.0185,1458999.20391038,
Hegeteich_Ossa,2035-01-01,12.6773,51.0185,77.8706214525919,
Hegeteich_Ossa,2050-01-01,12.6773,51.0185,104.971276354152,
Hegeteich_Ossa,2083-01-01,12.6773,51.0185,158.585583743834,
Heilenbecke-Talsperre,1985-01-01,7.37269,51.2561,9347956.29201248,
Heilenbecke-Talsperre,2035-01-01,7.37269,51.2561,15.1236130261043,
Heilenbecke-Talsperre,2050-01-01,7.37269,51.2561,26.5320807394032,
Heilenbecke-Talsperre,2083-01-01,7.37269,51.2561,49.3560919134648,
Henne-Talsperre,1985-01-01,8.27247,51.3349,38889450.1812315,
Henne-Talsperre,2035-01-01,8.27247,51.3349,18.6074469807329,
Henne-Talsperre,2050-01-01,8.27247,51.3349,24.2822930220337,
Henne-Talsperre,2083-01-01,8.27247,51.3349,38.5270331492191,
Herbringhauser-Talsperre,1985-01-01,7.27325,51.229,4716355.96658528,
Herbringhauser-Talsperre,2035-01-01,7.27325,51.229,18.2320845500908,
Herbringhauser-Talsperre,2050-01-01,7.27325,51.229,30.9810472387417,
Herbringhauser-Talsperre,2083-01-01,7.27325,51.229,59.0012940637891,
Hopfgarten-Talsperre,1985-01-01,11.2042,50.9977,3170443.61804724,
Hopfgarten-Talsperre,2035-01-01,11.2042,50.9977,63.5523900603546,
Hopfgarten-Talsperre,2050-01-01,11.2042,50.9977,70.3441725942607,
Hopfgarten-Talsperre,2083-01-01,11.2042,50.9977,116.491501053354,
Hullern-Talsperre,1985-01-01,7.26336,51.7464,202320141.870747,
Hullern-Talsperre,2035-01-01,7.26336,51.7464,31.3330969720062,
Hullern-Talsperre,2050-01-01,7.26336,51.7464,47.6835572016115,
Hullern-Talsperre,2083-01-01,7.26336,51.7464,90.2566310281647,
Häuschenteich,1985-01-01,12.9289,51.3005,1142500.35676561,
Häuschenteich,2035-01-01,12.9289,51.3005,58.9659424027931,
Häuschenteich,2050-01-01,12.9289,51.3005,82.6147221010111,
Häuschenteich,2083-01-01,12.9289,51.3005,141.390406894662,
Innerste-Talsperre,1985-01-01,10.2949,51.9144,75366604.7967625,
Innerste-Talsperre,2035-01-01,10.2949,51.9144,13.5052978584909,
Innerste-Talsperre,2050-01-01,10.2949,51.9144,18.5150876145631,
Innerste-Talsperre,2083-01-01,10.2949,51.9144,38.5368600857851,
Jubach-Talsperre,1985-01-01,7.60818,51.1619,40934497.6190686,
Jubach-Talsperre,2035-01-01,7.60818,51.1619,14.3673848795146,
Jubach-Talsperre,2050-01-01,7.60818,51.1619,23.6615051292239,
Jubach-Talsperre,2083-01-01,7.60818,51.1619,43.588556022424,
Kalltalsperre,1985-01-01,6.31041,50.6453,17158217.1050119,
Kalltalsperre,2035-01-01,6.31041,50.6453,15.3824071822047,
Kalltalsperre,2050-01-01,6.31041,50.6453,14.2444256349862,
Kalltalsperre,2083-01-01,6.31041,50.6453,25.4834777778686,
Kerspe-Talsperre,1985-01-01,7.49444,51.1234,63368479.8321676,
Kerspe-Talsperre,2035-01-01,7.49444,51.1234,17.4614093795408,
Kerspe-Talsperre,2050-01-01,7.49444,51.1234,28.9891104943959,
Kerspe-Talsperre,2083-01-01,7.49444,51.1234,53.4589346735928,
Kettwiger_See,1985-01-01,6.93598,51.3612,2772167062.46292,
