Dam,date,Xcoo,Ycoo,Facc,
Aabach-Talsperre,1985-01-01,8.7202,51.4969,12314914.664526,
Aabach-Talsperre,2035-01-01,8.7202,51.4969,8.58078066887089,
Aabach-Talsperre,2050-01-01,8.7202,51.4969,10.8154345234749,
Aabach-Talsperre,2083-01-01,8.7202,51.4969,13.1337254751202,
Altenberg,1985-01-01,13.733,50.7646,1833919.153018,
Altenberg,2035-01-01,13.733,50.7646,6.59144484491243,
Altenberg,2050-01-01,13.733,50.7646,9.03037158986143,
Altenberg,2083-01-01,13.733,50.7646,9.53352930930243,
Amselbach,1985-01-01,12.5736,50.6373,578593.125104606,
Amselbach,2035-01-01,12.5736,50.6373,18.0208112854486,
Amselbach,2050-01-01,12.5736,50.6373,17.7586981307902,
Amselbach,2083-01-01,12.5736,50.6373,21.0632060937686,
Breitenbach-Talsperre,1985-01-01,8.08034,50.9823,24004445.3328323,
Breitenbach-Talsperre,2035-01-01,8.08034,50.9823,3.90674150073335,
Breitenbach-Talsperre,2050-01-01,8.08034,50.9823,6.60255846199622,
Breitenbach-Talsperre,2083-01-01,8.08034,50.9823,10.2774614227566,
Calbitz,1985-01-01,13.0299,51.3237,6910187.19694197,
Calbitz,2035-01-01,13.0299,51.3237,29.7453373727218,
Calbitz,2050-01-01,13.0299,51.3237,36.36403012155,
Calbitz,2083-01-01,13.0299,51.3237,47.657357188533,
Carlsfeld-Talsperre,1985-01-01,12.5966,50.4241,4950768.52893412,
Carlsfeld-Talsperre,2035-01-01,12.5966,50.4241,5.71354963011578,
Carlsfeld-Talsperre,2050-01-01,12.5966,50.4241,5.98518821752703,
Carlsfeld-Talsperre,2083-01-01,12.5966,50.4241,4.8550786401514,
Cranzahl-Talsperre,1985-01-01,13.0033,50.5043,2648296.78494573,
Cranzahl-Talsperre,2035-01-01,13.0033,50.5043,11.3855594893812,
Cranzahl-Talsperre,2050-01-01,13.0033,50.5043,12.1461445170557,
Cranzahl-Talsperre,2083-01-01,13.0033,50.5043,11.7116553532266,
Doktorteich,1985-01-01,12.8928,51.323,1860701.99275151,
Doktorteich,2035-01-01,12.8928,51.323,30.2105185642213,
Doktorteich,2050-01-01,12.8928,51.323,34.4430094969517,
Doktorteich,2083-01-01,12.8928,51.323,47.2601581671237,
Drei_Teiche,1985-01-01,12.8956,51.3186,1860701.99275151,
Drei_Teiche,2035-01-01,12.8956,51.3186,30.2105185642213,
Drei_Teiche,2050-01-01,12.8956,51.3186,34.4430094969517,
Drei_Teiche,2083-01-01,12.8956,51.3186,47.2601581671237,
Dreilägerbach-Talsperre,1985-01-01,6.20901,50.6599,14781513.3291578,
Dreilägerbach-Talsperre,2035-01-01,6.20901,50.6599,2.89975724445292,
Dreilägerbach-Talsperre,2050-01-01,6.20901,50.6599,1.64965523267909,
Dreilägerbach-Talsperre,2083-01-01,6.20901,50.6599,2.46630955718536,
Dröda-Talsperre,1985-01-01,12.0574,50.3978,11849127.3763597,
Dröda-Talsperre,2035-01-01,12.0574,50.3978,21.4172266340593,
Dröda-Talsperre,2050-01-01,12.0574,50.3978,25.1851360620054,
Dröda-Talsperre,2083-01-01,12.0574,50.3978,29.9915984068442,
Dörnthaler_Teich-Talsperre,1985-01-01,13.3404,50.7254,4908633.52398098,
Dörnthaler_Teich-Talsperre,2035-01-01,13.3404,50.7254,13.4594044906056,
Dörnthaler_Teich-Talsperre,2050-01-01,13.3404,50.7254,15.3580359205564,
Dörnthaler_Teich-Talsperre,2083-01-01,13.3404,50.7254,15.7912148721559,
Ecker-Talsperre,1985-01-01,10.5796,51.8407,24859313.6831045,
Ecker-Talsperre,2035-01-01,10.5796,51.8407,2.90221281972128,
Ecker-Talsperre,2050-01-01,10.5796,51.8407,1.35159440613126,
Ecker-Talsperre,2083-01-01,10.5796,51.8407,2.7200072707036,
Eibenstock-Talsperre,1985-01-01,12.5987,50.5299,110244759.328194,
Eibenstock-Talsperre,2035-01-01,12.5987,50.5299,8.69658178110078,
Eibenstock-Talsperre,2050-01-01,12.5987,50.5299,8.99840392351295,
Eibenstock-Talsperre,2083-01-01,12.5987,50.5299,9.92554439777536,
Einsiedel-Talsperre,1985-01-01,12.9848,50.7758,650680.51351279,
Einsiedel-Talsperre,2035-01-01,12.9848,50.7758,15.4671198407983,
Einsiedel-Talsperre,2050-01-01,12.9848,50.7758,17.5851764642149,
Einsiedel-Talsperre,2083-01-01,12.9848,50.7758,16.2060835544885,
Ennepe-Talsperre,1985-01-01,7.40925,51.2408,46560244.5389199,
Ennepe-Talsperre,2035-01-01,7.40925,51.2408,4.17120921234633,
Ennepe-Talsperre,2050-01-01,7.40925,51.2408,4.75216291053884,
Ennepe-Talsperre,2083-01-01,7.40925,51.2408,9.55533231565355,
Erletor-Talsperre,1985-01-01,10.7469,50.5851,6166403.14823985,
Erletor-Talsperre,2035-01-01,10.7469,50.5851,3.2336902420514,
Erletor-Talsperre,2050-01-01,10.7469,50.5851,4.17814039149229,
Erletor-Talsperre,2083-01-01,10.7469,50.5851,7.71594787044218,
Eschbach-Talsperre,1985-01-01,7.23185,51.1594,11072605.3099483,
Eschbach-Talsperre,2035-01-01,7.23185,51.1594,3.89349332198046,
Eschbach-Talsperre,2050-01-01,7.23185,51.1594,4.66465267479677,
Eschbach-Talsperre,2083-01-01,7.23185,51.1594,10.7600772620437,
Frauenau-Talsperre,1985-01-01,13.3346,49.0133,23001670.2579904,
Frauenau-Talsperre,2035-01-01,13.3346,49.0133,5.82756498745101,
Frauenau-Talsperre,2050-01-01,13.3346,49.0133,6.7238326516487,
Frauenau-Talsperre,2083-01-01,13.3346,49.0133,9.68944987850441,
Fuelbecke-Talsperre,1985-01-01,7.66307,51.2482,3063813.88551056,
Fuelbecke-Talsperre,2035-01-01,7.66307,51.2482,4.60163828873142,
Fuelbecke-Talsperre,2050-01-01,7.66307,51.2482,5.38616458040195,
Fuelbecke-Talsperre,2083-01-01,7.66307,51.2482,7.89999559512662,
Fürwigge-Talsperre,1985-01-01,7.68788,51.1496,10853150.1840127,
Fürwigge-Talsperre,2035-01-01,7.68788,51.1496,3.00577220145836,
Fürwigge-Talsperre,2050-01-01,7.68788,51.1496,4.61147632907522,
Fürwigge-Talsperre,2083-01-01,7.68788,51.1496,7.3809224420192,
Genkel-Talsperre,1985-01-01,7.62836,51.0634,8141609.22337532,
Genkel-Talsperre,2035-01-01,7.62836,51.0634,3.87403715623768,
Genkel-Talsperre,2050-01-01,7.62836,51.0634,5.58115477977858,
Genkel-Talsperre,2083-01-01,7.62836,51.0634,8.81340019172733,
Gottleuba-Talsperre,1985-01-01,13.9311,50.8371,10399830.9832728,
Gottleuba-Talsperre,2035-01-01,13.9311,50.8371,13.7410330988215,
Gottleuba-Talsperre,2050-01-01,13.9311,50.8371,17.4889389301627,
Gottleuba-Talsperre,2083-01-01,13.9311,50.8371,16.8847509090865,
Grane-Talsperre,1985-01-01,10.3773,51.9111,16098245.7319164,
Grane-Talsperre,2035-01-01,10.3773,51.9111,6.7846520991935,
Grane-Talsperre,2050-01-01,10.3773,51.9111,6.52134580100763,
Grane-Talsperre,2083-01-01,10.3773,51.9111,10.5501846407137,
Große_Dhünn-Talsperre,1985-01-01,7.19059,51.0662,44630450.5981922,
Große_Dhünn-Talsperre,2035-01-01,7.19059,51.0662,4.43411286880481,
Große_Dhünn-Talsperre,2050-01-01,7.19059,51.0662,5.08812438041885,
Große_Dhünn-Talsperre,2083-01-01,7.19059,51.0662,10.1252425820861,
Haltern-Talsperre,1985-01-01,7.20707,51.7427,285254767.014484,
Haltern-Talsperre,2035-01-01,7.20707,51.7427,13.4533766086802,
Haltern-Talsperre,2050-01-01,7.20707,51.7427,13.7027050834001,
Haltern-Talsperre,2083-01-01,7.20707,51.7427,20.9934442158899,
Hasper-Talsperre,1985-01-01,7.41405,51.2991,7976168.89933348,
Hasper-Talsperre,2035-01-01,7.41405,51.2991,4.08753512243205,
Hasper-Talsperre,2050-01-01,7.41405,51.2991,3.37003485698335,
Hasper-Talsperre,2083-01-01,7.41405,51.2991,7.57875884560954,
Hegeteich_Ossa,1985-01-01,12.6773,51.0185,1295456.68395415,
Hegeteich_Ossa,2035-01-01,12.6773,51.0185,28.1352083969726,
Hegeteich_Ossa,2050-01-01,12.6773,51.0185,26.8400336015273,
Hegeteich_Ossa,2083-01-01,12.6773,51.0185,34.7040254388957,
Heilenbecke-Talsperre,1985-01-01,7.37269,51.2561,8798060.20295888,
Heilenbecke-Talsperre,2035-01-01,7.37269,51.2561,4.41250362678885,
Heilenbecke-Talsperre,2050-01-01,7.37269,51.2561,4.54602814818638,
Heilenbecke-Talsperre,2083-01-01,7.37269,51.2561,8.1811566965725,
Henne-Talsperre,1985-01-01,8.27247,51.3349,37225439.7838783,
Henne-Talsperre,2035-01-01,8.27247,51.3349,6.36838993639289,
Henne-Talsperre,2050-01-01,8.27247,51.3349,7.15048807956705,
Henne-Talsperre,2083-01-01,8.27247,51.3349,8.91883621482366,
Herbringhauser-Talsperre,1985-01-01,7.27325,51.229,4488966.98986374,
Herbringhauser-Talsperre,2035-01-01,7.27325,51.229,4.74093449418646,
Herbringhauser-Talsperre,2050-01-01,7.27325,51.229,4.84245702678286,
Herbringhauser-Talsperre,2083-01-01,7.27325,51.229,9.72061258587695,
Hopfgarten-Talsperre,1985-01-01,11.2042,50.9977,2509170.08480251,
Hopfgarten-Talsperre,2035-01-01,11.2042,50.9977,22.5649471092822,
Hopfgarten-Talsperre,2050-01-01,11.2042,50.9977,28.3878082364418,
Hopfgarten-Talsperre,2083-01-01,11.2042,50.9977,43.4829665132126,
Hullern-Talsperre,1985-01-01,7.26336,51.7464,188736897.014236,
Hullern-Talsperre,2035-01-01,7.26336,51.7464,13.3624246529847,
Hullern-Talsperre,2050-01-01,7.26336,51.7464,15.0629413768822,
Hullern-Talsperre,2083-01-01,7.26336,51.7464,21.730577404954,
Häuschenteich,1985-01-01,12.9289,51.3005,941978.247770481,
Häuschenteich,2035-01-01,12.9289,51.3005,29.65943526122,
Häuschenteich,2050-01-01,12.9289,51.3005,34.1627300389535,
Häuschenteich,2083-01-01,12.9289,51.3005,47.2171504094743,
Innerste-Talsperre,1985-01-01,10.2949,51.9144,69659186.3379478,
Innerste-Talsperre,2035-01-01,10.2949,51.9144,5.62166249489255,
Innerste-Talsperre,2050-01-01,10.2949,51.9144,5.56571420518718,
