Dam,date,Xcoo,Ycoo,Facc,
Aabach-Talsperre,1985-01-01,8.7202,51.4969,11398672.9841673,
Aabach-Talsperre,2035-01-01,8.7202,51.4969,-10.363342793749,
Aabach-Talsperre,2050-01-01,8.7202,51.4969,-7.61453760586011,
Aabach-Talsperre,2083-01-01,8.7202,51.4969,-30.8996685783005,
Altenberg,1985-01-01,13.733,50.7646,1672302.13800162,
Altenberg,2035-01-01,13.733,50.7646,-1.99787186989997,
Altenberg,2050-01-01,13.733,50.7646,-13.4465855370745,
Altenberg,2083-01-01,13.733,50.7646,-39.8985218224462,
Amselbach,1985-01-01,12.5736,50.6373,528027.537436411,
Amselbach,2035-01-01,12.5736,50.6373,-0.297657900246935,
Amselbach,2050-01-01,12.5736,50.6373,-2.44091082677481,
Amselbach,2083-01-01,12.5736,50.6373,-35.2191282729546,
Breitenbach-Talsperre,1985-01-01,8.08034,50.9823,22221142.9781878,
Breitenbach-Talsperre,2035-01-01,8.08034,50.9823,-8.02594909682671,
Breitenbach-Talsperre,2050-01-01,8.08034,50.9823,-5.15671587500012,
Breitenbach-Talsperre,2083-01-01,8.08034,50.9823,-13.853210539426,
Calbitz,1985-01-01,13.0299,51.3237,5835142.04208434,
Calbitz,2035-01-01,13.0299,51.3237,2.22465344218993,
Calbitz,2050-01-01,13.0299,51.3237,8.38060225795923,
Calbitz,2083-01-01,13.0299,51.3237,-16.2497439231428,
Carlsfeld-Talsperre,1985-01-01,12.5966,50.4241,4612451.01831436,
Carlsfeld-Talsperre,2035-01-01,12.5966,50.4241,-4.33009432819778,
Carlsfeld-Talsperre,2050-01-01,12.5966,50.4241,-4.08943128164273,
Carlsfeld-Talsperre,2083-01-01,12.5966,50.4241,-23.3656194830173,
Cranzahl-Talsperre,1985-01-01,13.0033,50.5043,2467379.25361454,
Cranzahl-Talsperre,2035-01-01,13.0033,50.5043,-10.8152221225254,
Cranzahl-Talsperre,2050-01-01,13.0033,50.5043,-9.36376827478614,
Cranzahl-Talsperre,2083-01-01,13.0033,50.5043,-34.3024782387936,
Doktorteich,1985-01-01,12.8928,51.323,1560233.96222815,
Doktorteich,2035-01-01,12.8928,51.323,1.37402603696486,
Doktorteich,2050-01-01,12.8928,51.323,5.30165534169461,
Doktorteich,2083-01-01,12.8928,51.323,-20.0506005077646,
Drei_Teiche,1985-01-01,12.8956,51.3186,1560233.96222815,
Drei_Teiche,2035-01-01,12.8956,51.3186,1.37402603696486,
Drei_Teiche,2050-01-01,12.8956,51.3186,5.30165534169461,
Drei_Teiche,2083-01-01,12.8956,51.3186,-20.0506005077646,
Dreilägerbach-Talsperre,1985-01-01,6.20901,50.6599,13502792.562604,
Dreilägerbach-Talsperre,2035-01-01,6.20901,50.6599,-6.97408316753775,
Dreilägerbach-Talsperre,2050-01-01,6.20901,50.6599,-10.8480624611129,
Dreilägerbach-Talsperre,2083-01-01,6.20901,50.6599,-21.1183034825287,
Dröda-Talsperre,1985-01-01,12.0574,50.3978,10819211.8505502,
Dröda-Talsperre,2035-01-01,12.0574,50.3978,-2.28076490213592,
Dröda-Talsperre,2050-01-01,12.0574,50.3978,-2.51176143601962,
Dröda-Talsperre,2083-01-01,12.0574,50.3978,-52.388598903845,
Dörnthaler_Teich-Talsperre,1985-01-01,13.3404,50.7254,4602592.07467854,
Dörnthaler_Teich-Talsperre,2035-01-01,13.3404,50.7254,-12.5376906222009,
Dörnthaler_Teich-Talsperre,2050-01-01,13.3404,50.7254,-11.8292870821957,
Dörnthaler_Teich-Talsperre,2083-01-01,13.3404,50.7254,-31.3835187013355,
Ecker-Talsperre,1985-01-01,10.5796,51.8407,23013213.1205177,
Ecker-Talsperre,2035-01-01,10.5796,51.8407,-6.13795471433742,
Ecker-Talsperre,2050-01-01,10.5796,51.8407,-2.93894806444167,
Ecker-Talsperre,2083-01-01,10.5796,51.8407,-16.914998972122,
Eibenstock-Talsperre,1985-01-01,12.5987,50.5299,103969916.031418,
Eibenstock-Talsperre,2035-01-01,12.5987,50.5299,-3.03897704390317,
Eibenstock-Talsperre,2050-01-01,12.5987,50.5299,-4.7466323453332,
Eibenstock-Talsperre,2083-01-01,12.5987,50.5299,-29.6859728814723,
Einsiedel-Talsperre,1985-01-01,12.9848,50.7758,602316.259791926,
Einsiedel-Talsperre,2035-01-01,12.9848,50.7758,-8.72194989807289,
Einsiedel-Talsperre,2050-01-01,12.9848,50.7758,-9.54965421302325,
Einsiedel-Talsperre,2083-01-01,12.9848,50.7758,-34.9566124541358,
Ennepe-Talsperre,1985-01-01,7.40925,51.2408,42191240.7198,
Ennepe-Talsperre,2035-01-01,7.40925,51.2408,-5.43265239003084,
Ennepe-Talsperre,2050-01-01,7.40925,51.2408,-5.02415717904901,
Ennepe-Talsperre,2083-01-01,7.40925,51.2408,-11.7767008140822,
Erletor-Talsperre,1985-01-01,10.7469,50.5851,5683445.99671483,
Erletor-Talsperre,2035-01-01,10.7469,50.5851,-5.34474728468093,
Erletor-Talsperre,2050-01-01,10.7469,50.5851,-7.15281284926915,
Erletor-Talsperre,2083-01-01,10.7469,50.5851,-23.047328997795,
Eschbach-Talsperre,1985-01-01,7.23185,51.1594,10306281.7229614,
Eschbach-Talsperre,2035-01-01,7.23185,51.1594,-5.23207103798409,
Eschbach-Talsperre,2050-01-01,7.23185,51.1594,-9.88737455391812,
Eschbach-Talsperre,2083-01-01,7.23185,51.1594,-14.7198296844255,
Frauenau-Talsperre,1985-01-01,13.3346,49.0133,21939922.179172,
Frauenau-Talsperre,2035-01-01,13.3346,49.0133,-9.78602638137276,
