Dam,date,Xcoo,Ycoo,Facc,
Aabach-Talsperre,1985-01-01,8.7202,51.4969,4.94388461578297,
Aabach-Talsperre,2035-01-01,8.7202,51.4969,19.3407985893965,
Aabach-Talsperre,2050-01-01,8.7202,51.4969,16.5763074281927,
Aabach-Talsperre,2083-01-01,8.7202,51.4969,20.4191507285085,
Altenberg,1985-01-01,13.733,50.7646,0.75702818770218,
Altenberg,2035-01-01,13.733,50.7646,8.25831486002161,
Altenberg,2050-01-01,13.733,50.7646,10.9744335919325,
Altenberg,2083-01-01,13.733,50.7646,11.4593686351637,
Amselbach,1985-01-01,12.5736,50.6373,0.231924915929672,
Amselbach,2035-01-01,12.5736,50.6373,31.4229611606897,
Amselbach,2050-01-01,12.5736,50.6373,20.7559957979346,
Amselbach,2083-01-01,12.5736,50.6373,23.6404404899278,
Breitenbach-Talsperre,1985-01-01,8.08034,50.9823,9.34622432764058,
Breitenbach-Talsperre,2035-01-01,8.08034,50.9823,13.5729944926913,
Breitenbach-Talsperre,2050-01-01,8.08034,50.9823,14.042223007314,
Breitenbach-Talsperre,2083-01-01,8.08034,50.9823,10.622105838084,
Calbitz,1985-01-01,13.0299,51.3237,3.03760373337988,
Calbitz,2035-01-01,13.0299,51.3237,41.0789250364401,
Calbitz,2050-01-01,13.0299,51.3237,25.43226428477,
Calbitz,2083-01-01,13.0299,51.3237,27.3046959394123,
Carlsfeld-Talsperre,1985-01-01,12.5966,50.4241,1.99611603242072,
Carlsfeld-Talsperre,2035-01-01,12.5966,50.4241,8.21143091466909,
Carlsfeld-Talsperre,2050-01-01,12.5966,50.4241,12.4822805867137,
Carlsfeld-Talsperre,2083-01-01,12.5966,50.4241,10.7179513141331,
Cranzahl-Talsperre,1985-01-01,13.0033,50.5043,1.09036277655519,
Cranzahl-Talsperre,2035-01-01,13.0033,50.5043,9.48689180228922,
Cranzahl-Talsperre,2050-01-01,13.0033,50.5043,12.257279321243,
Cranzahl-Talsperre,2083-01-01,13.0033,50.5043,17.5950959871332,
Doktorteich,1985-01-01,12.8928,51.323,0.803152984727195,
Doktorteich,2035-01-01,12.8928,51.323,46.5801215881646,
Doktorteich,2050-01-01,12.8928,51.323,26.082258471462,
Doktorteich,2083-01-01,12.8928,51.323,30.487585981901,
Dröda-Talsperre,1985-01-01,12.0574,50.3978,4.87634391325375,
Dröda-Talsperre,2035-01-01,12.0574,50.3978,41.3520687737883,
Dröda-Talsperre,2050-01-01,12.0574,50.3978,46.4141335532176,
Dröda-Talsperre,2083-01-01,12.0574,50.3978,27.4527748877802,
Dreilägerbach-Talsperre,1985-01-01,6.20901,50.6599,5.71606152558486,
