Dam,date,Xcoo,Ycoo,Facc,
Aabach-Talsperre,1985-01-01,8.7202,51.4969,4.47500397605564,
Aabach-Talsperre,2035-01-01,8.7202,51.4969,-9.61993439066925,
Aabach-Talsperre,2050-01-01,8.7202,51.4969,-13.5735002375431,
Aabach-Talsperre,2083-01-01,8.7202,51.4969,-9.75048189805771,
Altenberg,1985-01-01,13.733,50.7646,0.669189431171516,
Altenberg,2035-01-01,13.733,50.7646,-13.6864433225281,
Altenberg,2050-01-01,13.733,50.7646,-15.4583206992078,
Altenberg,2083-01-01,13.733,50.7646,-16.8485088455817,
Amselbach,1985-01-01,12.5736,50.6373,0.202150202252829,
Amselbach,2035-01-01,12.5736,50.6373,-16.0821352755413,
Amselbach,2050-01-01,12.5736,50.6373,-13.1850579680789,
Amselbach,2083-01-01,12.5736,50.6373,-13.6173860599421,
Breitenbach-Talsperre,1985-01-01,8.08034,50.9823,8.84830990741715,
Breitenbach-Talsperre,2035-01-01,8.08034,50.9823,-6.97598318229244,
Breitenbach-Talsperre,2050-01-01,8.08034,50.9823,-14.1657849794933,
Breitenbach-Talsperre,2083-01-01,8.08034,50.9823,-6.82322973709575,
Calbitz,1985-01-01,13.0299,51.3237,2.38566588319565,
Calbitz,2035-01-01,13.0299,51.3237,-19.2499684087571,
Calbitz,2050-01-01,13.0299,51.3237,-8.65804176026272,
Calbitz,2083-01-01,13.0299,51.3237,-28.0377418774584,
Carlsfeld-Talsperre,1985-01-01,12.5966,50.4241,1.80323720396781,
Carlsfeld-Talsperre,2035-01-01,12.5966,50.4241,-12.1829826500386,
Carlsfeld-Talsperre,2050-01-01,12.5966,50.4241,-11.6127341636408,
Carlsfeld-Talsperre,2083-01-01,12.5966,50.4241,-13.2149026743938,
Cranzahl-Talsperre,1985-01-01,13.0033,50.5043,0.967210492987929,
Cranzahl-Talsperre,2035-01-01,13.0033,50.5043,-12.8506318998368,
Cranzahl-Talsperre,2050-01-01,13.0033,50.5043,-15.2775003908366,
Cranzahl-Talsperre,2083-01-01,13.0033,50.5043,-17.2723459491709,
Doktorteich,1985-01-01,12.8928,51.323,0.635580983037132,
Doktorteich,2035-01-01,12.8928,51.323,-18.1932145145423,
Doktorteich,2050-01-01,12.8928,51.323,-12.0781951329851,
Doktorteich,2083-01-01,12.8928,51.323,-28.4225829022916,
Dröda-Talsperre,1985-01-01,12.0574,50.3978,4.32301883916579,
Dröda-Talsperre,2035-01-01,12.0574,50.3978,-22.5599304045446,
Dröda-Talsperre,2050-01-01,12.0574,50.3978,-14.5353581826529,
Dröda-Talsperre,2083-01-01,12.0574,50.3978,-17.6566202681822,
Dreilägerbach-Talsperre,1985-01-01,6.20901,50.6599,5.31883742261751,
Dreilägerbach-Talsperre,2035-01-01,6.20901,50.6599,-6.82958549088396,
Dreilägerbach-Talsperre,2050-01-01,6.20901,50.6599,-13.3951449199322,
Dreilägerbach-Talsperre,2083-01-01,6.20901,50.6599,-10.5049809302138,
