Dam,date,Xcoo,Ycoo,Facc,
Aabach-Talsperre,1985-01-01,8.7202,51.4969,4.68768883794431,
Aabach-Talsperre,2035-01-01,8.7202,51.4969,8.40680717712338,
Aabach-Talsperre,2050-01-01,8.7202,51.4969,10.8258696974073,
Aabach-Talsperre,2083-01-01,8.7202,51.4969,13.2067360182646,
Altenberg,1985-01-01,13.733,50.7646,0.696630826372347,
Altenberg,2035-01-01,13.733,50.7646,6.67210510236663,
Altenberg,2050-01-01,13.733,50.7646,9.11846944372557,
Altenberg,2083-01-01,13.733,50.7646,9.81693682959285,
Amselbach,1985-01-01,12.5736,50.6373,0.22014312457242,
Amselbach,2035-01-01,12.5736,50.6373,17.9622764121841,
Amselbach,2050-01-01,12.5736,50.6373,17.6976174943641,
Amselbach,2083-01-01,12.5736,50.6373,21.0169821191688,
Breitenbach-Talsperre,1985-01-01,8.08034,50.9823,9.13631934902399,
Breitenbach-Talsperre,2035-01-01,8.08034,50.9823,3.84150909887086,
Breitenbach-Talsperre,2050-01-01,8.08034,50.9823,6.73844581698148,
Breitenbach-Talsperre,2083-01-01,8.08034,50.9823,10.198505812773,
Calbitz,1985-01-01,13.0299,51.3237,2.63084607035504,
Calbitz,2035-01-01,13.0299,51.3237,29.7102670294753,
Calbitz,2050-01-01,13.0299,51.3237,36.2584163105057,
Calbitz,2083-01-01,13.0299,51.3237,47.8457516980603,
Carlsfeld-Talsperre,1985-01-01,12.5966,50.4241,1.88120385896143,
Carlsfeld-Talsperre,2035-01-01,12.5966,50.4241,5.72040252118037,
Carlsfeld-Talsperre,2050-01-01,12.5966,50.4241,6.05092244923584,
Carlsfeld-Talsperre,2083-01-01,12.5966,50.4241,4.99488973379328,
Cranzahl-Talsperre,1985-01-01,13.0033,50.5043,1.00687318275649,
Cranzahl-Talsperre,2035-01-01,13.0033,50.5043,11.4400813339792,
Cranzahl-Talsperre,2050-01-01,13.0033,50.5043,12.1597215582742,
