;Talsperre;Zeitscheibe;ensminimum;ensp25;ensmedian;ensp75;ensmaximum;ensminimum.1;ensp25.1;ensmedian.1;ensp75.1;ensmaximum.1
16;Calbitz;1971-2000 [Mio. $m^3/y$] ;6,19;6,32;6,53;6,79;7,88;5,75;6,53;6,82;7,08;8,32
17;Lon: 13,02987778°;2021-2050 [\%] ;-19,25;+1,22;+17,69;+20,71;+41,08;+2,15;+22,41;+29,71;+36,49;+55,26
18;Lat: 51,32370556°;2036-2065 [\%] ;-8,66;+6,89;+14,22;+23,59;+25,43;+8,5;+23,49;+36,26;+45,84;+78,24
19;EZG: 56,59 $km^2$;2069-2098 [\%] ;-28,04;+10,81;+23,83;+29,83;+27,3;-16,03;+33,42;+47,85;+60,55;+138,28
32;Dröda-Talsperre;1971-2000 [Mio. $m^3/y$] ;11,2;11,46;11,64;11,85;12,65;10,68;11,4;11,69;12,03;13,06
33;Lon: 12,05743611°;2021-2050 [\%] ;-22,56;+3,14;+7,5;+10,82;+41,35;-2,35;+12,1;+21,42;+26,29;+40,94
34;Lat: 50,39780556°;2036-2065 [\%] ;-14,54;-0,49;+4,36;+14,92;+46,41;-2,43;+18,83;+25,15;+30,42;+58,93
35;EZG: 55,84 $km^2$;2069-2098 [\%] ;-17,66;-0,28;+9,4;+15,4;+27,45;-52,27;+13,91;+29,86;+43,95;+80,61
60;Ennepe-Talsperre;1971-2000 [Mio. $m^3/y$] ;43,88;44,89;45,31;45,88;46,42;41,6;45,26;45,93;46,6;49,25
61;Lon: 7,409247222°;2021-2050 [\%] ;-7,21;-2,85;+2,05;+5,52;+15,99;-5,32;+0,09;+4,27;+8,54;+13,77
62;Lat: 51,24082778°;2036-2065 [\%] ;-12,41;-2,16;+0,98;+6,54;+12,63;-4,83;-0,24;+4,86;+9,28;+25,19
63;EZG: 56,74 $km^2$;2069-2098 [\%] ;-5,63;-2,08;+2,0;+4,14;+11,42;-11,78;-1,87;+9,57;+15,05;+47,07
96;Große Dhünn-Talsperre;1971-2000 [Mio. $m^3/y$] ;42,59;43,05;43,47;43,8;44,82;39,89;43,26;44,04;45,02;46,53
97;Lon: 7,190590344°;2021-2050 [\%] ;-8,59;-1,16;+1,38;+7,04;+12,14;-4,43;+1,31;+4,31;+6,18;+22,29
98;Lat: 51,06621115°;2036-2065 [\%] ;-13,7;-1,31;+1,97;+7,1;+13,4;-9,04;+2,45;+5,11;+8,66;+37,32
99;EZG: 58,77 $km^2$;2069-2098 [\%] ;-7,33;-2,0;+1,39;+5,8;+12,22;-13,83;-1,24;+10,02;+17,92;+70,07
100;Haltern-Talsperre;1971-2000 [Mio. $m^3/y$] ;267,83;273,61;280,45;285,15;297,64;248,99;276,46;281,75;288,31;299,87
101;Lon: 7,207069444°;2021-2050 [\%] ;-12,5;+0,59;+9,94;+10,47;+22,27;-7,86;+4,19;+13,37;+17,61;+31,6
102;Lat: 51,74274722°;2036-2065 [\%] ;-22,28;-1,25;+8,83;+11,86;+23,48;-8,17;+4,71;+13,75;+18,66;+47,66
103;EZG: 942,42 $km^2$;2069-2098 [\%] ;-15,99;+3,13;+7,87;+11,33;+22,6;-16,17;+6,58;+20,83;+29,43;+90,31
116;Henne-Talsperre;1971-2000 [Mio. $m^3/y$] ;35,67;36,16;36,39;36,62;37,3;33,72;36,24;36,7;37,12;38,34
117;Lon: 8,272466667°;2021-2050 [\%] ;-12,51;-2,47;+3,44;+6,97;+16,09;-11,08;-0,99;+6,41;+12,61;+18,77
118;Lat: 51,33493333°;2036-2065 [\%] ;-17,95;-3,71;+2,32;+5,85;+15,82;-8,88;-0,93;+7,19;+12,93;+24,25
119;EZG: 62,33 $km^2$;2069-2098 [\%] ;-9,07;-3,62;+0,88;+7,53;+11,24;-17,7;-1,8;+9,07;+15,94;+38,33
128;Hullern-Talsperre;1971-2000 [Mio. $m^3/y$] ;177,76;181,57;185,61;188,57;197,67;162,39;182,32;186,42;190,75;199,66
129;Lon: 7,263358333°;2021-2050 [\%] ;-14,62;-0,97;+10,74;+10,48;+22,48;-8,06;+3,57;+13,3;+18,97;+31,3
130;Lat: 51,74640833°;2036-2065 [\%] ;-24,11;-0,6;+8,72;+12,31;+24,2;-8,43;+5,81;+15,04;+19,88;+47,59
131;EZG: 640,2 $km^2$;2069-2098 [\%] ;-17,16;+2,06;+9,04;+11,77;+23,05;-16,64;+6,75;+21,76;+29,03;+89,93
136;Innerste-Talsperre;1971-2000 [Mio. $m^3/y$] ;66,59;67,42;67,96;68,92;71,36;63,04;67,81;68,71;69,65;74,36
137;Lon: 10,294925°;2021-2050 [\%] ;-15,79;-4,43;-0,0;+7,15;+15,69;-7,87;-0,15;+5,57;+9,36;+13,19
138;Lat: 51,91436111°;2036-2065 [\%] ;-11,15;-4,04;+1,19;+5,13;+12,77;-3,58;-2,28;+5,61;+10,84;+18,26
139;EZG: 95,13 $km^2$;2069-2098 [\%] ;-6,93;-2,08;+1,35;+2,73;+7,12;-17,57;-3,7;+9,44;+15,61;+38,08
148;Kerspe-Talsperre;1971-2000 [Mio. $m^3/y$] ;57,57;58,53;59,1;59,41;61,22;53,76;58,99;59,56;60,52;62,47
149;Lon: 7,494438889°;2021-2050 [\%] ;-6,51;-2,65;+0,88;+5,81;+12,62;-3,66;+0,16;+4,36;+7,47;+17,53
150;Lat: 51,1234°;2036-2065 [\%] ;-11,16;-3,02;+1,27;+6,86;+9,89;-4,0;-0,79;+5,41;+9,03;+29,08
151;EZG: 70,11 $km^2$;2069-2098 [\%] ;-5,83;-2,36;+0,96;+4,93;+8,79;-10,9;-2,07;+9,16;+14,98;+53,33
152;Kettwiger See;1971-2000 [Mio. $m^3/y$] ;2534,15;2580,49;2596,87;2620,72;2697,55;2420,1;2604,31;2629,69;2658,74;2734,64
153;Lon: 6,935980556°;2021-2050 [\%] ;-8,07;-2,87;+4,47;+7,77;+15,54;-7,68;-2,08;+6,73;+11,38;+20,15
154;Lat: 51,36124167°;2036-2065 [\%] ;-14,53;-1,97;+3,22;+7,33;+14,02;-5,8;+0,5;+7,06;+11,88;+28,81
155;EZG: 4419,52 $km^2$;2069-2098 [\%] ;-7,0;-1,73;+2,38;+6,57;+11,83;-11,25;-1,15;+9,86;+17,73;+47,5
164;Klingenberg-Talsperre;1971-2000 [Mio. $m^3/y$] ;41,24;42,41;42,95;43,91;45,36;39,45;41,37;43,1;43,8;47,59
165;Lon: 13,53751944°;2021-2050 [\%] ;-15,53;+3,25;+7,62;+8,43;+15,32;-4,89;+7,87;+8,94;+15,01;+19,11
166;Lat: 50,90665°;2036-2065 [\%] ;-17,48;+2,86;+5,82;+9,03;+17,04;-12,44;+10,79;+11,12;+16,77;+21,32
167;EZG: 103,05 $km^2$;2069-2098 [\%] ;-19,15;+3,12;+8,46;+15,58;+17,62;-38,51;+1,93;+10,88;+18,39;+32,72
172;Königshütte-Talsperre;1971-2000 [Mio. $m^3/y$] ;111,56;113,89;114,64;116,23;121,67;109,46;114,46;116,02;117,73;123,25
173;Lon: 10,80434167°;2021-2050 [\%] ;-8,65;-0,7;+2,48;+5,33;+17,6;-8,79;-0,42;+4,5;+8,57;+14,57
174;Lat: 51,73626111°;2036-2065 [\%] ;-10,45;-2,45;+1,95;+4,3;+14,23;-5,03;-0,43;+4,64;+10,4;+15,36
175;EZG: 164,53 $km^2$;2069-2098 [\%] ;-6,82;+0,77;+3,23;+6,45;+9,19;-14,12;-1,01;+7,01;+14,19;+30,46
180;LehnmühleTalsperre;1971-2000 [Mio. $m^3/y$] ;27,97;28,85;29,19;29,76;31,23;26,67;28,15;29,16;29,83;32,56
181;Lon: 13,59279722°;2021-2050 [\%] ;-14,75;+0,3;+6,77;+8,33;+11,55;-3,75;+5,56;+8,13;+13,24;+14,98
182;Lat: 50,83368333°;2036-2065 [\%] ;-16,54;+1,25;+5,83;+8,3;+13,65;-13,41;+8,2;+10,32;+15,42;+18,37
