,index,pre_yearly,pre_summer,pre_winter,recharge_adjust,Tmax25[n],Tmax30[n],rcp
0,met_001,-35.308228,-143.38838,113.09216,-28.910301,67.35862,42.67931,rcp85
1,met_002,176.35175,9.285553,171.48053,56.065453,41.209198,18.996552,rcp85
2,met_003,79.68915,56.60724,26.07431,19.20272,13.429886,7.1666665,rcp26
3,met_004,47.06781,40.802307,6.41098,16.754478,2.1471252,1.5264363,rcp26
4,met_007,191.31793,84.069214,105.89703,49.691635,37.233334,18.826437,rcp85
5,met_008,126.651306,52.24167,76.588165,38.123306,23.23678,8.514942,rcp85
6,met_009,130.2732,69.618286,64.526306,40.875717,18.624138,7.9597697,rcp85
7,met_010,197.68372,102.33142,98.353455,69.691574,20.6977,8.181608,rcp85
8,met_011,30.803345,-9.657745,39.997314,11.3222275,9.004599,2.6609197,rcp26
9,met_012,46.284607,12.496216,36.71878,16.919167,7.743677,2.0,rcp26
10,met_013,80.99011,22.555176,58.881653,28.599785,5.2390804,2.3597698,rcp26
11,met_014,27.815979,-11.464172,41.378784,5.088196,10.041378,3.8885055,rcp26
12,met_015,27.080566,31.698853,0.40689087,5.2912903,11.881609,4.3103447,rcp26
13,met_021,8.211304,-34.134277,46.736176,-3.6374664,34.391953,16.214943,rcp85
14,met_022,24.027039,-13.345276,38.790222,-4.956894,37.51264,16.971266,rcp85
15,met_023,14.007996,-14.027466,31.8013,-8.355919,31.251724,13.696551,rcp85
16,met_024,86.89667,32.699707,56.406677,25.177917,29.221842,14.3643675,rcp85
17,met_025,21.871704,-39.659668,64.513,-5.234749,40.51609,23.516092,rcp85
18,met_026,48.44525,6.261322,44.075714,9.83416,31.603447,13.668966,rcp85
19,met_027,103.52295,40.748993,67.56836,36.262093,30.41839,15.602299,rcp85
20,met_028,56.53949,-4.5405884,57.445465,7.8662567,35.655174,19.81839,rcp85
21,met_029,53.3974,7.6006165,45.39969,5.373802,38.408043,16.447126,rcp85
22,met_030,149.60236,68.44885,79.9949,49.447227,26.794254,12.374712,rcp85
23,met_031,59.200195,-32.382812,90.14758,9.940155,38.48851,21.385057,rcp85
24,met_032,88.71539,53.619415,35.502228,32.000954,12.103447,2.7747126,rcp26
25,met_035,351.38696,226.16617,113.04187,136.72586,21.46322,10.418391,rcp85
26,met_036,234.75397,67.520905,155.31262,80.41907,31.105745,12.465517,rcp85
27,met_037,201.8952,24.684784,174.24615,64.9975,37.598846,20.005747,rcp85
28,met_038,-39.01819,-39.480103,-0.091430664,-22.049446,20.38391,10.002299,rcp26
29,met_039,18.150452,8.654419,9.171112,4.042801,8.590803,3.5873566,rcp26
30,met_040,14.415405,-11.912933,30.084717,-12.114975,46.849426,22.109196,rcp85
31,met_041,65.18591,34.08728,32.78781,11.642891,34.658623,13.940229,rcp85
32,met_042,0.06439209,-6.0236206,8.421478,-3.5102005,18.65977,6.8195395,rcp26
33,met_043,77.71289,50.765625,27.679932,24.990944,12.926435,3.8517246,rcp26
34,met_044,60.020752,52.558594,5.007965,22.154358,8.880459,2.9528732,rcp26
35,met_045,50.566345,35.526367,18.004547,16.185143,9.801147,5.9229884,rcp26
