,index,pre_yearly,pre_summer,pre_winter,recharge_adjust,Tmax25[n],Tmax30[n],rcp
0,met_001,703.581,247.83958,450.19086,84.19588,97.75862,48.37931,rcp85
1,met_002,941.6555,423.76718,512.24176,170.07384,72.27586,23.896551,rcp85
2,met_003,834.5592,460.923,367.4871,133.1226,43.896553,14.0,rcp26
3,met_004,803.88153,447.21707,347.78427,130.42068,33.41379,7.793103,rcp26
4,met_007,944.2383,486.76727,446.9967,163.57324,68.0,25.793104,rcp85
5,met_008,892.455,465.73587,418.49176,152.19978,54.103447,13.448276,rcp85
6,met_009,885.4871,474.18494,406.15924,154.39357,50.724136,12.793103,rcp85
7,met_010,960.8362,515.3844,439.74356,183.63643,51.931034,14.448276,rcp85
8,met_011,794.1282,401.39328,383.01917,125.392654,37.13793,8.827586,rcp26
9,met_012,809.56476,422.38773,382.07095,130.91586,36.310345,7.0,rcp26
10,met_013,835.28564,424.3717,403.1552,142.31744,33.172413,7.793103,rcp26
11,met_014,788.60724,398.3931,383.78497,118.83538,38.24138,10.655172,rcp26
12,met_015,788.3742,441.13562,344.7685,119.16562,41.448277,9.310345,rcp26
13,met_021,779.5094,385.60498,391.0509,110.62622,62.75862,22.448277,rcp85
14,met_022,789.36743,401.00308,382.6889,108.93507,66.37931,22.137932,rcp85
15,met_023,788.16064,403.82397,379.48434,105.82806,60.551723,18.896551,rcp85
16,met_024,845.53326,439.52463,399.71048,138.95494,57.655174,19.931034,rcp85
17,met_025,799.70233,387.39636,408.7585,108.73091,69.48276,30.48276,rcp85
18,met_026,815.6994,420.7829,387.44043,123.89253,62.103447,19.068966,rcp85
19,met_027,862.45013,448.36002,412.47055,150.14966,59.551723,21.068966,rcp85
20,met_028,823.88525,413.98148,399.46967,121.76572,64.655174,26.551723,rcp85
21,met_029,817.13513,420.16223,388.85245,119.30381,68.24138,21.413794,rcp85
22,met_030,916.4523,480.5534,425.2017,163.5214,57.827587,18.241379,rcp85
23,met_031,834.73865,393.12476,433.01416,124.0045,66.655174,27.551723,rcp85
24,met_032,850.58954,464.7542,378.0104,145.8071,42.103447,7.2413793,rcp26
25,met_035,1120.7673,644.1985,452.89993,250.68816,52.896553,13.551724,rcp85
26,met_036,985.5025,477.2085,489.5876,194.06029,62.172413,18.965517,rcp85
27,met_037,954.9232,437.644,508.60687,178.56326,66.965515,27.172413,rcp85
28,met_038,734.5505,382.91684,342.84775,92.921715,48.517242,15.068966,rcp26
29,met_039,787.21155,423.79208,354.0343,118.16985,37.724136,7.62069,rcp26
30,met_040,794.5087,415.25537,374.66223,102.87884,75.48276,27.275862,rcp85
31,met_041,840.6388,453.60666,377.58466,125.72667,64.75862,18.206896,rcp85
32,met_042,765.1004,405.76486,353.5617,110.40175,47.793102,11.586206,rcp26
33,met_043,836.14636,454.57645,373.6416,138.90012,41.793102,9.551724,rcp26
34,met_044,814.5134,458.48672,345.20688,135.94865,38.41379,8.586206,rcp26
35,met_045,803.9198,439.77997,357.84528,130.0547,41.03448,13.689655,rcp26
36,met_050,812.59863,363.8026,447.62457,112.17712,98.24138,48.13793,rcp85
37,met_051,913.5474,447.00854,458.221,146.00352,92.24138,44.103447,rcp85
38,met_052,870.9517,413.99097,445.32742,132.74953,88.31035,31.37931,rcp85
39,met_053,834.8012,391.37967,435.7629,117.90646,89.10345,33.482758,rcp85
40,met_054,895.47546,439.15494,445.3333,138.3091,84.586205,30.068966,rcp85
41,met_055,1059.9053,602.83057,451.7562,215.007,63.551723,17.862068,rcp85
42,met_056,945.35614,468.64172,473.33646,166.18163,81.89655,28.241379,rcp85
43,met_057,795.117,358.56955,430.97488,89.60061,111.06896,58.0,rcp85
44,met_058,904.41986,429.48373,467.62497,153.04733,78.37931,33.931034,rcp85
45,met_059,801.4847,447.8467,343.24466,127.46597,32.655174,9.4827585,rcp26
46,met_060,766.3808,408.22168,349.6055,110.66431,37.896553,11.103448,rcp26
47,met_061,757.7962,406.83463,344.87668,104.86435,40.62069,14.965517,rcp26
48,met_062,777.8126,388.0066,381.98242,113.82857,42.37931,10.896552,rcp26
49,met_067,863.7506,409.112,436.11316,137.55676,56.310345,21.51724,rcp85
50,met_068,829.30585,404.36356,412.0181,127.10826,53.41379,18.862068,rcp85
51,met_069,842.77466,403.18677,423.7183,130.03261,60.103447,22.62069,rcp85
52,met_070,888.12756,424.05072,449.59793,147.27655,56.24138,21.206896,rcp85
53,met_071,890.09906,438.17032,431.32916,155.04778,56.793102,20.62069,rcp85
54,met_072,871.17706,426.41296,425.75586,145.76826,50.103447,17.172413,rcp85
55,met_073,895.6706,427.5538,450.52884,146.10849,58.206898,25.931034,rcp85
56,met_074,898.2279,408.36505,477.12762,158.37651,50.86207,15.103448,rcp85
57,met_075,923.9727,428.92917,485.95938,166.53058,52.793102,15.724138,rcp85
58,met_076,992.4645,443.29266,532.58325,194.91803,55.482758,22.103449,rcp85
59,met_077,850.50116,411.45624,427.01196,138.16212,50.172413,14.931034,rcp85
60,met_078,953.6543,443.17435,495.02237,184.80278,51.24138,22.103449,rcp85
61,met_079,813.7539,456.34174,352.17865,129.51389,39.103447,7.9310346,rcp26
62,met_080,842.91675,471.61798,361.93283,143.78754,33.172413,7.137931,rcp26
63,met_082,842.6242,425.81848,406.7053,134.65732,56.86207,15.655172,rcp85
64,met_083,883.67523,439.79993,428.4245,147.44783,64.344826,19.689655,rcp85
65,met_084,860.343,436.656,413.0317,135.96582,65.72414,21.137932,rcp85
66,met_085,933.42206,499.45447,431.6379,169.7876,61.0,19.310345,rcp85
